system:index,mean,value,.geo
00000000000000000038,1.1765481840417253,6925.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000039,1.19907705559785,6926.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003a,2.4310310321771427,6927.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003b,1.638857030374321,6928.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003c,2.1482605706410283,6929.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003d,1.996781752798987,6930.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003e,2.861721157730224,6931.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003f,2.5982679904827135,6932.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000040,2.2849864891718843,6933.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000041,0.6150305017397829,6934.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000042,1.1355634092033016,6935.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000043,1.0079891791955171,6936.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000044,1.3217791611708318,6937.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000045,1.269630750825244,6938.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000046,0.9148344413466948,6939.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000047,0.6451949097789137,6940.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000048,0.548615777180494,6941.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000049,1.5428383706046684,6942.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004a,2.9746727782135602,6943.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004b,2.70282926852663,6944.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004c,2.1672580595586735,6945.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004d,2.028504659993867,6946.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004e,1.7184994354965697,6947.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004f,1.8128584300701256,6948.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000050,1.776454818198202,6949.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000051,1.7099229201549937,6950.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000052,1.698912224307073,6951.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000053,1.8094616687885843,6952.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000054,1.8848623934587239,6953.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000055,1.7926872476081794,6954.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000056,1.9062367714960502,6955.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000057,1.8276775493213075,6956.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000058,1.5655500336117825,6957.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000059,1.395940050957697,6958.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
